player_id,season_year,side,bf,hr_vs,bb_vs,k_vs,h_nothr_vs,Control_side,pBABIP_side,HRA_side,Stuff_side,stamina
84,2101,R,446,0.02242152466367713,0.08071748878923767,0.2040358744394619,0.1726457399103139,56,77,78,66,48
699,2101,R,276,0.036231884057971016,0.06521739130434782,0.3115942028985507,0.20652173913043478,47,61,38,116,25
743,2101,R,122,0.03278688524590164,0.13114754098360656,0.2786885245901639,0.1885245901639344,49,57,36,104,10
1205,2101,R,46,0.06521739130434782,0.08695652173913043,0.15217391304347827,0.1956521739130435,51,58,55,66,61
1258,2101,R,388,0.041237113402061855,0.0979381443298969,0.211340206185567,0.17010309278350516,55,70,79,88,83
1472,2101,R,302,0.029801324503311258,0.059602649006622516,0.16225165562913907,0.2913907284768212,65,60,66,47,61
1528,2101,R,136,0.058823529411764705,0.08823529411764706,0.14705882352941177,0.21323529411764705,31,54,32,46,74
1681,2101,R,96,0.041666666666666664,0.11458333333333333,0.125,0.2708333333333333,40,31,58,42,57
2113,2101,R,137,0.014598540145985401,0.029197080291970802,0.31386861313868614,0.18248175182481752,84,57,69,90,13
19365,2101,R,288,0.03819444444444445,0.08680555555555555,0.2013888888888889,0.19444444444444445,47,55,42,52,71
19581,2101,R,183,0.0273224043715847,0.06557377049180328,0.20218579234972678,0.1912568306010929,43,58,50,60,62
20076,2101,R,224,0.05357142857142857,0.125,0.20089285714285715,0.16964285714285715,33,50,46,91,16
20312,2101,R,132,0.06060606060606061,0.09848484848484848,0.08333333333333333,0.21212121212121213,43,54,32,40,41
20383,2101,R,103,0.04854368932038835,0.0970873786407767,0.22330097087378642,0.1941747572815534,42,52,34,53,92
21174,2101,R,117,0.042735042735042736,0.06837606837606838,0.1282051282051282,0.2222222222222222,64,45,54,42,82
21656,2101,R,42,0.0,0.07142857142857142,0.16666666666666666,0.2619047619047619,35,56,53,55,68
23003,2101,R,52,0.019230769230769232,0.09615384615384616,0.15384615384615385,0.17307692307692307,36,55,50,94,8
23608,2101,R,371,0.04851752021563342,0.03773584905660377,0.16711590296495957,0.19137466307277629,99,58,80,42,48
23652,2101,R,62,0.03225806451612903,0.14516129032258066,0.20967741935483872,0.08064516129032258,49,51,46,42,62
24110,2101,R,274,0.0364963503649635,0.06569343065693431,0.19343065693430658,0.2116788321167883,51,59,47,84,55
24224,2101,R,418,0.01674641148325359,0.0861244019138756,0.14832535885167464,0.22248803827751196,43,55,101,37,61
24273,2101,R,452,0.028761061946902654,0.07300884955752213,0.19690265486725664,0.20575221238938052,54,56,58,43,93
24360,2101,R,305,0.006557377049180328,0.06557377049180328,0.17704918032786884,0.1901639344262295,53,49,77,53,32
24506,2101,R,162,0.024691358024691357,0.06172839506172839,0.17901234567901234,0.16049382716049382,47,62,61,52,56
25018,2101,R,127,0.015748031496062992,0.08661417322834646,0.13385826771653545,0.16535433070866143,53,56,89,37,14
25591,2101,R,170,0.023529411764705882,0.06470588235294118,0.2411764705882353,0.1588235294117647,58,59,74,88,58
25656,2101,R,51,0.0196078431372549,0.058823529411764705,0.13725490196078433,0.3333333333333333,62,53,48,35,54
25768,2101,R,176,0.022727272727272728,0.11363636363636363,0.10795454545454546,0.22727272727272727,42,51,78,39,31
25924,2101,R,149,0.013422818791946308,0.12751677852348994,0.18791946308724833,0.22818791946308725,38,38,52,53,41
25927,2101,R,412,0.021844660194174758,0.06067961165048544,0.14320388349514562,0.24757281553398058,80,51,56,53,56
26076,2101,R,196,0.05612244897959184,0.061224489795918366,0.1989795918367347,0.20918367346938777,59,54,47,46,22
26168,2101,R,60,0.03333333333333333,0.06666666666666667,0.16666666666666666,0.15,54,51,56,40,62
26197,2101,R,167,0.023952095808383235,0.0718562874251497,0.20359281437125748,0.23952095808383234,49,59,56,71,21
26249,2101,R,92,0.03260869565217391,0.08695652173913043,0.14130434782608695,0.21739130434782608,48,58,55,47,63
26267,2101,R,244,0.02459016393442623,0.0778688524590164,0.18442622950819673,0.21311475409836064,42,54,64,101,14
26594,2101,R,187,0.0374331550802139,0.12299465240641712,0.15508021390374332,0.1711229946524064,39,50,37,67,46
26693,2101,R,267,0.03745318352059925,0.08239700374531835,0.10486891385767791,0.21722846441947566,60,38,53,47,40
26779,2101,R,266,0.045112781954887216,0.10150375939849623,0.16917293233082706,0.22932330827067668,55,35,56,60,55
26811,2101,R,174,0.017241379310344827,0.040229885057471264,0.16091954022988506,0.25862068965517243,59,57,94,72,27
27337,2101,R,188,0.0425531914893617,0.09574468085106383,0.17553191489361702,0.20212765957446807,34,53,59,65,55
27363,2101,R,135,0.022222222222222223,0.05185185185185185,0.2074074074074074,0.17777777777777778,48,49,59,78,15
27642,2101,R,216,0.032407407407407406,0.05092592592592592,0.1388888888888889,0.24074074074074073,63,47,50,66,50
27930,2101,R,145,0.06896551724137931,0.08275862068965517,0.19310344827586207,0.1724137931034483,31,43,44,70,10
28596,2101,R,228,0.039473684210526314,0.08771929824561403,0.18421052631578946,0.2324561403508772,68,67,67,79,56
28985,2101,R,152,0.019736842105263157,0.05921052631578947,0.2565789473684211,0.18421052631578946,51,59,88,98,81
29480,2101,R,145,0.0,0.07586206896551724,0.14482758620689656,0.22758620689655173,55,66,60,70,7
29533,2101,R,383,0.015665796344647518,0.04177545691906005,0.1566579634464752,0.19321148825065274,58,58,65,43,58
29618,2101,R,488,0.020491803278688523,0.07581967213114754,0.15368852459016394,0.24795081967213115,82,53,77,43,66
29829,2101,R,330,0.02727272727272727,0.051515151515151514,0.19696969696969696,0.20606060606060606,40,54,47,59,63
29840,2101,R,444,0.04279279279279279,0.10135135135135136,0.12387387387387387,0.25900900900900903,44,48,44,49,69
29894,2101,R,376,0.05851063829787234,0.125,0.1276595744680851,0.21010638297872342,41,49,42,41,66
29980,2101,R,422,0.026066350710900472,0.04265402843601896,0.1943127962085308,0.23696682464454977,60,45,63,48,61
30142,2101,R,227,0.039647577092511016,0.06607929515418502,0.20704845814977973,0.2026431718061674,68,45,47,83,4
30148,2101,R,187,0.0374331550802139,0.06417112299465241,0.20320855614973263,0.22459893048128343,55,53,50,67,56
