player_id,g,gs,is_starter,stamina,fst,snk,cutt,crv,sld,chg,splt,frk,circhg,scr,kncrv,knbl,Cfram,Cabil,Carm,OFrange,OFarm,OFerror,IFrange,IFerror,IFarm,turnDP,season_year
84,35,35,True,48,82,0,0,0,86,42,53,0,0,0,0,0,3,4,3,45,14,17,26,15,58,6,2101
699,96,0,False,25,105,102,33,0,0,0,0,0,0,0,0,0,1,4,4,20,26,34,25,18,54,8,2101
743,48,0,False,10,0,0,102,104,0,0,0,0,0,0,0,0,1,1,1,38,7,24,18,13,68,5,2101
1205,13,0,False,61,62,72,0,0,7,50,0,0,0,0,0,0,1,4,1,24,22,23,19,17,60,7,2101
1258,21,21,True,83,84,84,0,0,65,45,79,0,0,0,0,0,2,2,3,26,22,40,21,10,23,3,2101
1258,11,11,True,83,84,84,0,0,65,45,79,0,0,0,0,0,2,2,3,26,22,40,21,10,23,3,2101
1472,25,25,True,61,78,0,0,0,0,36,86,0,0,0,0,0,2,1,2,45,24,22,17,28,44,8,2101
2113,46,0,False,13,80,42,84,0,89,48,0,0,0,0,0,0,2,4,1,20,46,13,25,15,33,27,2101
19365,91,0,False,71,60,49,21,0,0,0,0,0,0,0,0,0,1,2,1,5,12,14,13,10,32,7,2101
19581,29,3,False,62,89,21,21,0,44,0,0,0,0,0,0,0,1,2,2,19,8,22,20,1,54,2,2101
20076,55,0,False,16,105,0,0,0,103,0,0,0,0,0,0,0,1,4,1,37,23,14,16,13,37,3,2101
20076,19,0,False,16,105,0,0,0,103,0,0,0,0,0,0,0,1,4,1,37,23,14,16,13,37,3,2101
21174,27,2,False,82,72,0,0,0,0,42,26,0,0,0,37,0,1,3,3,24,15,25,25,9,39,4,2101
23003,23,0,False,8,102,0,0,0,0,0,0,0,0,0,87,0,5,4,1,27,42,47,20,22,34,3,2101
23608,33,33,True,48,40,50,21,0,15,0,0,0,0,0,0,0,2,4,5,49,57,44,20,25,72,9,2101
24110,27,27,True,55,0,87,80,91,82,39,0,0,0,0,0,0,2,3,1,15,10,12,32,17,55,1,2101
24161,50,0,False,62,64,0,0,0,35,31,0,0,0,0,0,0,1,1,3,7,23,23,18,20,18,5,2101
24224,33,33,True,61,68,0,0,0,30,48,0,0,0,0,10,0,4,4,2,17,26,2,21,12,38,17,2101
24273,33,33,True,93,82,35,36,0,0,0,0,0,0,0,0,0,2,5,1,49,11,12,21,3,54,1,2101
24360,86,0,False,32,50,71,0,49,0,0,0,0,0,21,0,0,3,4,4,10,7,34,18,8,28,19,2101
24506,36,4,False,56,0,70,0,0,73,31,22,0,0,0,0,0,3,4,1,21,21,19,10,18,25,11,2101
25018,52,0,False,14,48,0,0,65,0,0,0,0,0,0,0,0,2,2,2,28,10,18,18,6,54,24,2101
25591,56,0,False,58,93,0,0,0,0,40,0,0,0,0,88,0,2,4,4,15,23,15,24,19,42,14,2101
25656,35,0,False,54,39,0,48,0,0,56,0,0,0,0,0,0,1,3,1,21,4,18,21,21,55,3,2101
25768,31,3,False,31,61,50,48,0,0,0,0,20,0,0,0,0,1,4,1,53,15,11,18,21,47,3,2101
25924,28,0,False,41,70,0,61,23,0,35,0,0,0,0,0,0,2,3,3,9,14,1,17,34,29,10,2101
25927,34,34,True,56,68,50,69,0,0,47,0,0,0,0,0,0,2,1,2,21,12,15,21,13,57,27,2101
26076,69,0,False,22,87,0,0,0,0,27,0,0,0,0,0,0,1,4,2,16,21,24,19,27,68,2,2101
26197,68,0,False,21,104,0,0,48,0,0,0,0,0,0,0,0,2,2,4,17,32,29,24,15,34,20,2101
26249,20,0,False,63,60,55,0,0,0,28,0,0,0,0,0,0,2,5,4,16,33,26,25,16,59,5,2101
26267,78,0,False,14,102,41,101,0,0,0,0,0,0,0,0,0,1,4,2,79,35,25,18,22,40,3,2101
26594,45,0,False,46,76,49,0,0,0,78,0,0,0,34,0,0,1,1,1,26,12,22,18,4,76,7,2101
26693,56,0,False,40,61,0,0,0,0,29,55,0,0,0,0,0,2,1,3,27,12,11,19,23,45,3,2101
26779,66,5,False,55,66,0,72,0,0,36,0,0,0,0,0,0,4,1,3,16,24,4,24,18,18,13,2101
26811,58,0,False,27,101,0,0,0,0,53,0,0,0,0,0,0,2,4,2,36,14,4,27,15,45,11,2101
27337,52,0,False,55,66,60,24,69,0,0,0,0,0,0,0,0,1,3,4,25,10,19,14,19,31,1,2101
27363,62,0,False,15,87,0,72,0,0,87,0,0,0,0,0,0,1,2,2,13,8,16,15,14,56,4,2101
27642,62,0,False,50,59,33,0,0,78,37,0,0,0,0,0,0,2,2,1,27,9,1,15,23,52,5,2101
27930,14,0,False,10,94,0,0,0,101,0,0,0,0,0,0,0,5,1,5,56,2,11,19,23,42,4,2101
27930,32,0,False,10,94,0,0,0,101,0,0,0,0,0,0,0,5,1,5,56,2,11,19,23,42,4,2101
28596,20,20,True,56,84,0,0,0,87,43,0,45,0,0,0,0,4,4,4,21,11,14,22,34,69,2,2101
28985,65,0,False,81,104,0,0,0,71,0,0,0,0,0,0,0,4,2,2,10,13,7,16,9,45,22,2101
29480,73,0,False,7,98,0,0,77,0,0,0,0,0,0,0,0,5,1,5,94,21,19,18,10,62,14,2101
29533,32,32,True,58,51,0,47,0,60,30,0,0,0,0,0,0,5,1,5,26,27,17,16,22,49,2,2101
29618,27,27,True,66,77,0,0,0,82,43,0,0,0,0,0,0,3,4,4,20,28,14,16,14,29,3,2101
29829,48,12,False,63,80,77,0,38,0,33,0,0,0,0,0,0,4,1,4,25,14,23,19,5,47,12,2101
29840,67,0,False,69,61,61,0,0,0,28,0,0,0,0,0,0,2,4,4,25,14,18,21,17,36,4,2101
29894,86,0,False,66,43,50,0,41,0,33,0,0,0,35,0,0,3,4,1,12,26,26,35,9,62,4,2101
29980,33,33,True,61,82,34,0,82,0,43,0,0,0,0,0,0,1,2,4,54,24,27,20,5,64,4,2101
30142,79,0,False,4,0,0,103,0,0,0,0,0,75,0,0,0,3,1,2,26,13,16,22,16,90,4,2101
30148,45,1,False,56,0,0,75,77,87,46,36,0,0,0,62,0,2,4,2,12,24,12,22,22,51,4,2101
30286,36,36,True,38,50,0,0,0,0,87,93,0,0,0,0,0,2,1,1,31,22,10,20,9,56,9,2101
30590,93,0,False,63,82,0,0,0,77,35,0,0,0,0,0,0,2,2,4,8,26,8,21,19,54,3,2101
30631,39,27,True,30,0,0,81,77,62,27,48,0,0,0,0,0,2,2,2,20,11,23,20,23,28,6,2101
30676,34,34,True,64,97,87,0,0,0,100,0,0,0,0,0,0,1,1,2,24,9,6,14,5,43,1,2101
30747,24,15,True,29,88,40,0,0,0,28,0,0,0,0,0,0,2,2,5,13,7,21,28,8,57,12,2101
30820,42,0,False,11,0,63,0,95,84,39,83,0,0,0,0,0,5,1,3,17,8,33,26,18,46,32,2101
